Country ,Code
Argentina,1
Australia,2
Austria,3
Bosnia and Herzegovina,4
Brazil,5
Bulgaria,6
Canada,7
Chile,8
Croatia,9
Cuba,10
Czech Republic,11
Ecuador,12
Estonia,13
Europe,14
Finland,15
Germany,16
Ghana,17
Greece,18
Indonesia,19
Iran,20
Italy,21
Japan,22
Latvia,23
Lithuania,24
Malaysia,25
Mexico,26
Mongolia,27
Myanmar,28
New Zealand,29
Norway,30
Poland,31
Portugal,32
Romania,33
Russia,34
Serbia,35
Slovakia,36
Slovenia,37
South Africa,38
South Korea,39
Spain,40
Sweden,41
Thailand,42
Turkey,43
USA,44
