ID,Country
17_01,Italy
17_02,Iran
17_03,Finland
17_04,Iran
17_05,USA
17_07,Italy
17_08,Austria
17_09,Iran
17_10,Portugal
17_11,Germany
17_12,Romania
17_14,Iran
17_15,Germany
17_16,Turkey
17_17,Germany
17_18,Iran
17_19,Italy
17_20,Slovakia
17_20,Czech Republic
17_21,USA
17_22,Greece
17_23,Italy
17_24,Iran
17_25,Poland
17_26,Italy
17_27,New Zealand
17_28,Finland
17_29,Malaysia
17_30,Brazil
17_31,Romania
17_32,Iran
17_33,Lithuania
17_34,Brazil
17_36,Italy
17_37,Italy
17_38,Turkey
17_39,Brazil
17_40,Romania
17_41,USA
17_42,Brazil
17_43,Slovakia
17_44,Iran
17_45,Italy
17_46,Romania
17_47,Brazil
17_48,Brazil
17_49,Iran
17_50,Poland
17_51,Poland
17_52,Iran
18_01,Italy
18_02,Bosnia and Herzegovina
18_03,Brazil
18_04,Iran
18_04,Italy
18_05,USA
18_06,Brazil
18_07,Iran
18_08,Brazil
18_09,USA
18_10,Slovenia
18_11,Brazil
18_11,Germany
18_12,Canada
18_13,Croatia
18_14,Sweden
18_15,Italy
18_16,Italy
18_17,USA
18_18,Germany
18_19,Austria
18_20,Japan
18_21,Sweden
18_22,Chile
18_23,Italy
18_24,Italy
18_25,USA
18_26,Poland
18_27,Brazil
18_28,Brazil
18_29,Croatia
18_30,Slovakia
18_31,Canada
18_32,Bosnia and Herzegovina
18_32,Australia
18_33,USA
18_34,Romania
18_35,Finland
18_36,Norway
18_37,Brazil
18_38,Czech Republic
18_39,Iran
18_40,Indonesia
18_41,USA
18_42,Sweden
18_43,Italy
18_44,South Korea
18_45,South Africa
18_46,Turkey
18_48,Poland
18_49,USA
18_50,Turkey
18_51,Chile
18_52,Spain
18_53,Bosnia and Herzegovina
18_53,Australia
18_54,Romania
18_55,Brazil
18_56,Turkey
18_57,Iran
18_58,Brazil
18_59,Latvia
18_60,Latvia
18_61,Latvia
18_62,Iran
18_63,Brazil
18_64,Italy
18_65,Brazil
18_66,Finland
18_67,Brazil
19_01,USA
19_02,Indonesia
19_03,USA
19_05,Brazil
19_06,Iran
19_07,Indonesia
19_08,Italy
19_09,Finland
19_10,Iran
19_10,Italy
19_11,USA
19_12,Iran
19_13,South Korea
19_14,Brazil
19_15,Brazil
19_16,Italy
19_17,Estonia
19_18,Turkey
19_19,South Korea
19_20,Indonesia
19_21,Iran
19_21,Italy
19_22,Japan
19_23,Croatia
19_24,Brazil
19_25,Slovakia
19_26,Romania
19_27,Indonesia
19_28,Iran
19_29,Brazil
19_30,Mexico
19_31,Canada
19_32,Germany
19_33,Turkey
19_34,Canada
19_35,Finland
19_36,Austria
19_37,South Africa
19_38,South Africa
19_39,Slovenia
19_39,Italy
19_40,Brazil
19_41,Poland
19_42,Spain
19_43,Brazil
19_44,Australia
19_45,Indonesia
19_46,Germany
19_47,Brazil
19_48,Malaysia
19_49,Germany
19_50,Sweden
19_51,Australia
19_52,Poland
19_53,Finland
19_54,Croatia
19_55,Brazil
19_56,Canada
19_57,Slovakia
20_01,Australia
20_02,Slovakia
20_03,Myanmar
20_04,Greece
20_05,Romania
20_06,Romania
20_07,Germany
20_08,South Korea
20_09,Europe
20_10,Brazil
20_11,Italy
20_12,Poland
20_13,Croatia
20_14,Italy
20_15,Indonesia
20_16,Indonesia
20_17,USA
20_18,Slovenia
20_19,Romania
20_20,Croatia
20_21,USA
20_22,Turkey
20_23,Finland
20_24,Iran
20_25,Sweden
20_26,Serbia
20_27,Germany
20_28,Sweden
20_29,Romania
20_30,Mongolia
20_31,Spain
20_32,Iran
20_33,Poland
20_34,Germany
20_35,USA
20_36,Finland
20_37,Russia
20_38,Russia
20_39,Russia
20_40,Russia
20_41,Iran
20_42,Germany
20_43,Brazil
20_44,Australia
20_45,Iran
20_46,Brazil
20_47,Italy
20_48,Poland
20_49,South Korea
20_50,USA
20_51,Croatia
20_52,USA
20_53,Brazil
20_54,Brazil
20_55,Brazil
20_56,Brazil
20_57,Brazil
20_58,Brazil
20_59,Ecuador
20_60,Turkey
20_61,Latvia
20_62,Russia
20_63,Russia
20_64,Brazil
20_65,Brazil
20_66,Bosnia and Herzegovina
20_67,Russia
20_68,Poland
20_69,Russia
20_70,Italy
20_71,Poland
