ID,Economy,Social,Ecology,Performance,Quality,Exposure,Working Einvironment,Biodiversity,Site Quality,Einvironmental Impact,Terrain,Soil Physics,Soil Chemstry
17_01,1,0,0,1,0,0,0,0,0,0,0,0,0
17_02,0,0,1,0,0,0,0,0,0,0,0,1,1
17_03,0,0,1,0,0,0,0,0,0,0,1,1,1
17_04,0,0,1,0,0,0,0,0,0,0,0,1,1
17_05,1,0,0,1,0,0,0,0,0,0,0,0,0
17_07,1,0,1,1,0,0,0,0,0,1,0,0,0
17_08,0,0,1,0,0,0,0,0,0,1,0,0,1
17_09,0,0,1,0,0,0,0,0,0,1,0,0,0
17_10,0,0,1,0,0,0,0,0,0,1,1,1,1
17_11,0,0,1,0,0,0,0,0,1,0,0,1,1
17_12,0,0,1,0,0,0,0,0,0,1,0,0,0
17_14,0,0,1,0,0,0,0,0,0,1,0,1,0
17_15,0,0,1,0,0,0,0,0,0,0,0,1,1
17_16,1,0,0,1,0,0,0,0,0,0,0,0,0
17_17,0,0,1,0,0,0,0,0,1,0,0,0,1
17_18,0,0,1,0,0,0,0,0,0,1,0,1,1
17_19,0,0,1,0,0,0,0,1,0,0,1,1,1
17_20,0,0,1,0,0,0,0,0,0,1,1,1,0
17_21,1,0,1,1,0,0,0,0,0,1,0,0,0
17_22,1,0,0,1,0,0,0,0,0,0,0,0,0
17_23,0,1,0,0,0,1,0,0,0,0,0,0,0
17_24,0,0,1,0,0,0,0,0,1,0,0,1,1
17_25,0,0,1,0,0,0,0,0,0,1,0,0,0
17_26,0,0,1,0,0,0,0,1,1,0,0,1,1
17_27,0,1,0,0,0,1,0,0,0,0,0,0,0
17_28,1,0,1,1,0,0,1,0,0,1,1,1,0
17_29,0,0,1,0,0,0,0,0,0,1,0,0,0
17_30,1,0,0,1,0,0,0,0,0,0,0,0,0
17_31,1,0,0,1,0,0,0,0,0,0,0,0,0
17_32,0,0,1,0,0,0,0,0,0,0,0,1,0
17_33,0,0,1,0,0,0,0,0,0,1,0,0,0
17_34,1,0,0,1,0,0,0,0,0,0,0,0,0
17_36,0,0,1,0,0,0,0,0,0,1,0,0,0
17_37,1,0,0,1,0,0,0,0,0,0,0,0,0
17_38,0,0,1,0,0,0,0,0,0,1,1,0,0
17_39,1,0,0,1,0,0,0,0,0,0,0,0,0
17_40,0,0,1,0,0,0,0,0,0,1,0,0,0
17_41,0,0,1,0,0,0,0,0,1,0,1,1,1
17_42,0,1,0,0,0,1,1,0,0,0,0,0,0
17_43,0,1,0,0,0,0,1,0,0,0,0,0,0
17_44,0,0,1,0,0,0,0,0,0,1,1,0,0
17_45,0,0,1,0,0,0,0,0,0,0,0,1,0
17_46,1,0,0,1,0,0,0,0,0,0,0,0,0
17_47,0,0,1,0,0,0,0,0,0,0,0,1,0
17_48,0,0,1,0,0,0,0,0,0,1,0,0,0
17_49,0,1,0,0,0,0,1,0,0,0,0,0,0
17_50,1,0,0,1,0,0,0,0,0,0,0,0,0
17_51,0,0,1,0,0,0,0,0,0,1,1,1,0
17_52,0,0,1,0,0,0,0,0,0,0,0,1,0
18_01,1,0,1,1,0,0,0,0,0,1,0,0,0
18_02,0,0,1,0,0,0,0,0,0,1,0,0,0
18_03,0,0,1,0,0,0,0,0,0,0,0,1,0
18_04,1,0,0,1,0,0,0,0,0,0,0,0,0
18_05,0,0,1,0,0,0,0,0,1,0,0,0,1
18_06,0,0,1,0,0,0,0,0,0,0,0,1,1
18_07,0,0,1,0,0,0,0,0,0,0,1,1,0
18_08,0,0,1,0,0,0,0,0,0,1,0,0,0
18_09,1,0,0,1,0,0,0,0,0,0,0,0,0
18_10,1,1,0,1,0,1,0,0,0,0,0,0,0
18_11,0,0,1,0,0,0,0,0,0,0,1,0,0
18_12,0,0,1,0,0,0,0,1,0,0,0,0,0
18_13,0,0,1,0,0,0,0,0,0,0,1,0,0
18_14,0,0,1,0,0,0,0,0,0,0,1,1,0
18_15,0,1,0,0,0,1,0,0,0,0,0,0,0
18_16,1,0,1,1,0,0,0,0,0,1,0,0,0
18_17,1,0,1,0,1,0,0,0,0,0,0,0,1
18_18,1,0,0,1,0,0,0,0,0,0,0,0,0
18_19,1,0,0,1,0,0,0,0,0,0,0,0,0
18_20,0,0,1,0,0,0,0,0,0,0,1,1,0
18_21,0,0,1,0,0,0,0,0,0,0,0,0,1
18_22,0,0,1,0,0,0,0,0,0,1,0,0,0
18_23,1,1,1,1,0,0,1,0,0,1,0,1,0
18_24,0,0,1,0,0,0,0,1,1,0,1,1,1
18_25,0,0,1,0,0,0,0,0,0,1,0,0,0
18_26,1,0,1,1,0,0,0,0,0,1,0,0,0
18_27,0,0,1,0,0,0,0,0,0,1,0,0,0
18_28,0,0,1,0,0,0,0,0,0,1,1,1,0
18_29,1,0,0,1,0,0,0,0,0,0,0,0,0
18_30,0,1,0,0,0,0,1,0,0,0,0,0,0
18_31,0,0,1,0,0,0,0,0,0,1,1,1,1
18_32,1,1,0,1,0,0,1,0,0,0,0,0,0
18_33,0,0,1,0,0,0,0,0,0,1,0,0,1
18_34,1,1,0,1,0,1,1,0,0,0,0,0,0
18_35,1,0,0,1,0,0,0,0,0,0,0,0,0
18_36,0,0,1,0,0,0,0,0,0,1,0,0,0
18_37,0,0,1,0,0,0,0,0,0,0,0,0,1
18_38,1,0,0,1,0,0,0,0,0,0,0,0,0
18_39,0,0,1,0,0,0,0,0,0,1,0,1,1
18_40,0,0,1,0,0,0,0,0,0,1,0,0,0
18_41,1,0,1,1,0,0,0,0,0,1,0,0,1
18_42,0,0,1,0,0,0,0,0,0,0,1,1,0
18_43,1,0,0,1,0,0,0,0,0,0,0,0,0
18_44,1,0,0,1,0,0,0,0,0,0,0,0,0
18_45,0,0,1,0,0,0,0,0,1,1,0,0,0
18_46,1,0,0,1,0,0,0,0,0,0,0,0,0
18_48,0,0,1,0,0,0,0,0,0,1,0,0,0
18_49,0,1,0,0,0,0,1,0,0,0,0,0,0
18_50,1,0,0,1,0,0,0,0,0,0,0,0,0
18_51,1,0,0,1,0,0,0,0,0,0,0,0,0
18_52,1,0,1,1,0,0,0,0,0,1,0,0,0
18_53,1,0,0,1,0,0,0,0,0,0,0,0,0
18_54,0,1,0,0,0,0,1,0,0,0,0,0,0
18_55,0,0,1,0,0,0,0,0,0,1,0,0,0
18_56,1,0,0,1,0,0,0,0,0,0,0,0,0
18_57,1,0,0,1,0,0,0,0,0,0,0,0,0
18_58,1,0,0,1,0,0,0,0,0,0,0,0,0
18_59,1,0,1,1,0,0,0,0,0,1,0,0,0
18_60,1,0,0,1,0,0,0,0,0,0,0,0,0
18_61,1,0,0,1,0,0,0,0,0,0,0,0,0
18_62,1,0,0,1,0,0,0,0,0,0,0,0,0
18_63,1,0,0,1,0,0,0,0,0,0,0,0,0
18_64,1,0,0,1,0,0,0,0,0,0,0,0,0
18_65,0,0,0,0,0,0,0,0,0,0,0,1,0
18_66,1,0,0,1,0,0,0,0,0,0,0,0,0
18_67,0,0,1,0,0,0,0,0,0,0,0,1,1
19_01,0,0,1,0,0,0,0,0,0,1,0,1,0
19_02,0,0,1,0,0,0,0,0,0,0,1,1,0
19_03,1,0,0,1,0,0,0,0,0,0,0,0,0
19_05,0,0,1,0,0,0,0,0,0,1,0,0,0
19_06,0,0,1,0,0,0,0,0,0,0,0,1,0
19_07,1,0,1,1,0,0,0,0,0,1,0,0,0
19_08,0,0,0,0,0,0,0,0,0,0,0,0,0
19_09,1,0,0,1,0,0,0,0,0,0,0,0,0
19_10,0,0,1,0,0,0,0,1,0,1,1,1,1
19_11,1,0,0,1,0,0,0,0,0,0,0,0,0
19_12,1,0,1,0,1,0,0,0,1,0,0,1,1
19_13,1,0,0,1,0,0,0,0,0,0,0,0,0
19_14,0,0,1,0,0,0,0,0,0,1,1,0,0
19_15,0,0,1,0,0,0,0,0,0,0,0,1,1
19_16,1,1,1,1,0,0,1,1,1,1,0,0,0
19_17,0,0,1,0,0,0,0,0,0,0,0,1,1
19_18,1,0,0,1,0,0,0,0,0,0,0,0,0
19_19,1,0,0,1,0,0,0,0,0,0,0,0,0
19_20,0,0,1,0,0,0,0,0,0,1,0,0,0
19_21,0,0,1,0,0,0,0,0,0,1,0,0,0
19_22,1,0,0,1,0,0,0,0,0,0,0,0,0
19_23,0,1,0,0,0,0,1,0,0,0,0,0,0
19_24,0,0,1,0,0,0,0,0,1,0,1,1,0
19_25,0,0,1,0,0,0,0,0,0,0,1,1,1
19_26,1,0,0,1,0,0,0,0,0,0,0,0,0
19_27,0,0,1,0,0,0,0,0,0,1,0,0,0
19_28,0,0,1,0,0,0,0,0,0,1,1,1,1
19_29,0,1,0,0,0,0,1,0,0,0,0,0,0
19_30,0,0,1,0,0,0,0,0,0,1,0,0,0
19_31,0,0,1,0,0,0,0,0,1,0,0,1,0
19_32,1,0,0,1,0,0,0,0,0,0,0,0,0
19_33,0,1,0,0,0,0,1,0,0,0,0,0,0
19_34,0,0,1,0,0,0,0,0,0,0,0,1,1
19_35,0,0,1,0,0,0,0,0,0,0,1,1,1
19_36,1,1,1,1,0,0,1,0,0,1,0,0,0
19_37,1,0,1,1,0,0,0,0,0,1,0,0,0
19_38,1,0,0,1,1,0,0,0,0,0,0,0,0
19_39,0,1,0,0,0,1,0,0,0,0,0,0,0
19_40,0,1,0,0,0,1,0,0,0,0,0,0,0
19_41,0,0,1,0,0,0,0,0,0,0,1,0,0
19_42,0,0,1,0,0,0,0,1,0,0,0,0,0
19_43,0,0,1,0,0,0,0,0,0,1,0,0,0
19_44,1,0,0,1,1,0,0,0,0,0,0,0,0
19_45,0,1,0,0,0,0,1,0,0,0,0,0,0
19_46,1,0,1,1,0,0,0,0,0,1,0,0,0
19_47,0,0,1,0,0,0,0,0,0,0,0,1,1
19_48,0,0,1,0,0,0,0,0,0,1,0,0,0
19_49,0,0,0,0,0,0,0,0,0,0,0,1,0
19_50,0,0,1,0,0,0,0,1,0,0,1,0,0
19_51,1,0,0,1,0,0,0,0,0,0,0,0,0
19_52,0,0,1,0,0,0,0,0,0,1,0,0,0
19_53,0,0,1,0,0,0,0,0,0,0,0,1,0
19_54,1,0,0,1,0,0,0,0,0,0,0,0,0
19_55,1,0,0,1,0,0,0,0,0,0,0,0,0
19_56,0,0,1,0,0,0,0,0,0,0,1,1,1
19_57,0,1,0,0,0,0,1,0,0,0,0,0,0
20_01,1,0,0,1,0,0,0,0,0,0,0,0,0
20_02,0,0,1,0,0,0,0,0,0,1,0,1,0
20_03,0,0,1,0,0,0,0,0,0,1,0,0,0
20_04,0,1,0,0,0,1,0,0,0,0,0,0,0
20_05,1,0,0,1,0,0,0,0,0,0,0,0,0
20_06,0,1,0,0,0,1,1,0,0,0,0,0,0
20_07,1,0,0,1,0,0,0,0,0,0,0,0,0
20_08,1,0,0,1,0,0,0,0,0,0,0,0,0
20_09,0,0,1,0,0,0,0,0,0,1,0,0,0
20_10,0,1,0,0,0,1,0,0,0,0,0,0,0
20_11,1,0,1,1,0,0,0,0,0,1,0,0,0
20_12,1,0,0,1,0,0,0,0,0,0,0,0,0
20_13,1,1,0,1,0,1,0,0,0,0,0,0,0
20_14,0,0,1,0,0,0,0,0,0,0,0,1,0
20_15,1,0,0,1,0,0,0,0,0,0,0,0,0
20_16,0,0,1,0,0,0,0,0,0,1,0,0,0
20_17,0,0,1,0,0,0,0,0,0,0,1,1,0
20_18,1,0,0,1,0,0,0,0,0,0,0,0,0
20_19,1,0,0,1,0,0,0,0,0,0,0,0,0
20_20,1,0,0,1,0,0,0,0,0,0,0,0,0
20_21,0,0,1,0,0,0,0,0,0,1,0,0,0
20_22,0,0,1,0,0,0,0,0,0,0,0,1,0
20_23,1,0,0,1,0,0,0,0,0,0,0,0,0
20_24,0,0,1,0,0,0,0,0,0,0,1,1,0
20_25,0,1,1,0,0,1,0,0,0,0,1,0,0
20_26,0,0,1,0,0,0,0,0,0,1,0,0,0
20_27,0,0,1,0,0,0,0,0,0,1,1,1,1
20_28,0,1,1,0,0,1,0,0,0,0,1,1,0
20_29,0,1,0,0,0,1,0,0,0,0,0,0,0
20_30,1,0,1,0,1,0,0,1,1,0,0,1,1
20_31,0,0,1,0,0,0,0,0,1,0,0,0,1
20_32,1,0,1,0,1,0,0,0,0,1,0,0,0
20_33,0,0,1,0,0,0,0,0,0,1,0,0,0
20_34,1,0,0,1,0,0,0,0,0,0,0,0,0
20_35,0,0,1,0,0,0,0,0,0,0,0,1,0
20_36,0,0,1,0,0,0,0,0,0,0,0,1,1
20_37,1,0,0,1,0,0,0,0,0,0,0,0,0
20_38,0,0,1,0,0,0,0,0,0,0,1,0,0
20_39,1,0,0,1,0,0,0,0,0,0,0,0,0
20_40,1,0,0,1,0,0,0,0,0,0,0,0,0
20_41,0,0,1,0,0,0,0,0,0,0,0,1,0
20_42,0,0,1,0,0,0,0,0,0,0,0,1,1
20_43,0,0,1,0,0,0,0,0,0,0,0,1,0
20_44,1,0,0,1,1,0,0,0,0,0,0,0,0
20_45,0,0,1,0,0,0,0,0,1,0,0,1,1
20_46,0,1,0,0,0,0,1,0,0,0,0,0,0
20_47,1,0,0,1,0,0,0,0,0,0,0,0,0
20_48,0,1,0,0,0,0,1,0,0,0,0,0,0
20_49,0,0,1,0,0,0,0,0,0,0,0,1,1
20_50,1,0,1,1,0,0,0,0,0,0,0,1,0
20_51,0,1,0,0,0,1,0,0,0,0,0,0,0
20_52,1,0,0,1,0,0,0,0,0,0,0,0,0
20_53,0,1,0,0,0,1,0,0,0,0,0,0,0
20_54,1,0,0,0,1,0,0,0,0,0,0,0,0
20_55,1,0,0,1,0,0,0,0,0,0,0,0,0
20_56,0,0,1,0,0,0,0,0,0,1,0,0,0
20_57,1,0,0,1,0,0,0,0,0,0,0,0,0
20_58,1,0,0,1,0,0,0,0,0,0,0,0,0
20_59,1,0,0,1,0,0,0,0,0,0,0,0,0
20_60,1,0,0,1,0,0,0,0,0,0,0,0,0
20_61,1,0,0,1,0,0,0,0,0,0,0,0,0
20_62,0,0,1,0,0,0,0,0,0,1,1,0,0
20_63,0,0,1,0,0,0,0,0,0,0,1,0,0
20_64,0,1,0,0,0,1,1,0,0,0,0,0,0
20_65,0,1,0,0,0,1,1,0,0,0,0,0,0
20_66,1,0,0,1,0,0,0,0,0,0,0,0,0
20_67,0,0,1,0,0,0,0,0,0,0,1,0,0
20_68,0,1,0,0,0,1,0,0,0,0,0,0,0
20_69,0,0,1,0,0,0,0,1,0,0,1,1,0
20_70,1,0,0,1,0,0,0,0,0,0,0,0,0
20_71,0,0,1,0,0,0,0,0,0,1,0,0,0
20_72,1,0,0,1,0,0,0,0,0,0,0,0,0
20_73,0,0,1,0,0,0,0,0,0,1,0,0,0
20_74,0,0,1,0,0,0,0,0,0,0,0,1,0
20_75,0,0,1,0,0,0,0,0,0,0,1,1,0
20_76,0,0,1,0,0,0,0,0,0,0,0,1,0
20_77,0,0,1,0,0,0,0,0,0,1,0,0,0
20_78,1,0,0,1,0,0,0,0,0,0,0,0,0
20_79,0,1,0,0,0,0,1,0,0,0,0,0,0
20_80,0,1,0,0,0,1,0,0,0,0,0,0,0
20_81,1,0,1,1,0,0,0,0,0,1,0,0,0
20_82,1,1,0,1,0,0,1,0,0,0,0,0,0
20_83,1,0,0,1,0,0,0,0,0,0,0,0,0
20_84,1,0,0,1,0,0,0,0,0,0,0,0,0
20_85,1,0,0,1,0,0,0,0,0,0,0,0,0
20_86,1,0,0,1,0,0,0,0,0,0,0,0,0
20_87,0,0,1,0,0,0,0,0,0,1,0,0,0
20_88,1,0,0,1,0,0,0,0,0,0,0,0,0
20_89,1,0,0,1,0,0,0,0,0,0,0,0,0
20_90,1,0,1,0,1,0,0,0,0,1,0,0,0
20_91,0,0,1,0,0,0,0,0,0,0,0,1,1
21_01,1,1,0,1,0,0,1,0,0,0,0,0,0
21_02,1,0,1,1,0,0,0,0,0,1,0,0,0
21_03,0,0,1,0,0,0,0,0,1,0,0,1,0
21_04,0,0,1,0,0,0,0,0,0,0,0,1,0
21_05,1,0,1,1,0,0,0,0,0,1,0,0,1
21_06,1,0,1,1,0,0,0,1,0,1,0,0,0
21_07,0,0,1,0,0,0,0,0,0,0,0,0,1
21_08,0,0,1,0,0,0,0,0,0,0,0,1,1
21_09,1,1,0,1,0,0,1,0,0,0,0,0,0
21_10,0,0,1,0,0,0,0,0,0,0,1,1,0
21_11,0,1,0,0,0,0,1,0,0,0,0,0,0
21_12,1,0,0,1,0,0,0,0,0,0,0,0,0
21_13,1,0,0,1,0,0,0,0,0,0,0,0,0
21_14,1,0,0,1,0,0,0,0,0,0,0,0,0
21_15,0,0,1,0,0,0,0,0,1,0,0,1,1
21_16,0,1,0,0,0,0,1,0,0,0,0,0,0
21_17,0,0,1,0,0,0,0,0,0,1,0,0,0
21_18,0,0,1,0,0,0,0,1,0,0,0,0,0
21_19,1,0,0,1,0,0,0,0,0,0,0,0,0
21_20,0,0,1,0,0,0,0,0,0,1,0,0,0
21_21,1,0,0,1,0,0,0,0,0,0,0,0,0
21_22,1,0,0,1,0,0,0,0,0,0,0,0,0
21_23,0,0,1,0,0,0,0,0,0,0,1,1,1
21_24,0,0,1,0,0,0,0,0,0,1,0,1,0
21_25,0,0,1,0,0,0,0,0,0,0,0,1,1
21_26,0,1,0,0,0,1,0,0,0,0,0,0,0
21_27,1,0,0,1,0,0,0,0,0,0,0,0,0
21_28,0,0,1,0,0,0,0,0,0,0,0,1,0
21_29,0,0,1,0,0,0,0,0,1,0,1,1,1
21_30,0,1,0,0,0,0,1,0,0,0,0,0,0
21_31,0,0,1,0,0,0,0,0,0,1,0,0,0
21_32,1,0,0,1,0,0,0,0,0,0,0,0,0
21_33,0,0,0,0,0,0,0,0,0,0,0,0,0
21_34,1,0,0,1,0,0,0,0,0,0,0,0,0
21_35,1,0,0,1,0,0,0,0,0,0,0,0,0
21_36,0,1,0,0,0,1,0,0,0,0,0,0,0
21_37,0,0,1,0,0,0,0,0,0,0,1,1,0
21_38,1,0,0,1,0,0,0,0,0,0,0,0,0
21_39,0,1,0,0,0,0,1,0,0,0,0,0,0
21_40,0,0,1,0,0,0,0,0,0,0,1,1,0
21_41,1,1,0,0,0,1,0,0,0,0,0,0,0
21_42,1,0,0,1,0,0,0,0,0,0,0,0,0
21_43,1,0,0,1,0,0,0,0,0,0,0,0,0
21_44,0,1,0,0,0,0,1,0,0,0,0,0,0
21_45,0,1,0,0,0,1,1,0,0,0,0,0,0
21_46,1,0,0,1,0,0,0,0,0,0,0,0,0
21_47,0,0,1,0,0,0,0,0,0,1,0,0,0
21_48,1,0,1,1,0,0,0,0,0,1,0,0,0
21_49,0,0,1,0,0,0,0,0,1,0,0,1,1
21_50,0,0,1,0,0,0,0,1,0,0,0,0,0
21_51,0,0,0,0,0,0,1,0,0,0,0,0,0
21_52,1,1,0,1,0,0,0,0,0,0,0,0,0
21_53,0,1,0,0,0,0,1,0,0,0,0,0,0
21_54,1,0,0,1,0,0,0,0,0,0,0,0,0
21_55,1,0,0,1,0,0,0,0,0,0,0,0,0
