ID,Region,Country
17_01,Europe,Italy
17_02,Middle East,Iran
17_03,Europe,Finland
17_04,Middle East,Iran
17_05,North America,USA
17_07,Europe,Italy
17_08,Europe,Austria
17_09,Middle East,Iran
17_10,Europe,Portugal
17_11,Europe,Germany
17_12,Europe,Romania
17_14,Middle East,Iran
17_15,Europe,Germany
17_16,Middle East,Turkey
17_17,Europe,Germany
17_18,Middle East,Iran
17_19,Europe,Italy
17_20,Europe,Slovakia
17_20,Europe,Czech Republic
17_21,North America,USA
17_22,Europe,Greece
17_23,Europe,Italy
17_24,Middle East,Iran
17_25,Europe,Poland
17_26,Europe,Italy
17_27,Oceania,New Zealand
17_28,Europe,Finland
17_29,South East Asia,Malaysia
17_30,Latin America,Brazil
17_31,Europe,Romania
17_32,Middle East,Iran
17_33,Europe,Lithuania
17_34,Latin America,Brazil
17_36,Europe,Italy
17_37,Europe,Italy
17_38,Middle East,Turkey
17_39,Latin America,Brazil
17_40,Europe,Romania
17_41,North America,USA
17_42,Latin America,Brazil
17_43,Europe,Slovakia
17_44,Middle East,Iran
17_45,Europe,Italy
17_46,Europe,Romania
17_47,Latin America,Brazil
17_48,Latin America,Brazil
17_49,Middle East,Iran
17_50,Europe,Poland
17_51,Europe,Poland
17_52,Middle East,Iran
18_01,Europe,Italy
18_02,Europe,Bosnia and Herzegovina
18_03,Latin America,Brazil
18_04,Middle East,Iran
18_04,Middle East,Italy
18_04,Europe,Iran
18_04,Europe,Italy
18_05,North America,USA
18_06,Latin America,Brazil
18_07,Middle East,Iran
18_08,Latin America,Brazil
18_09,North America,USA
18_10,Europe,Slovenia
18_11,Europe,Brazil
18_11,Europe,Germany
18_11,Latin America,Brazil
18_11,Latin America,Germany
18_12,North America,Canada
18_13,Europe,Croatia
18_14,Europe,Sweden
18_15,Europe,Italy
18_16,Europe,Italy
18_17,North America,USA
18_18,Europe,Germany
18_19,Europe,Austria
18_20,South East Asia,Japan
18_21,Europe,Sweden
18_22,Latin America,Chile
18_23,Europe,Italy
18_24,Europe,Italy
18_25,North America,USA
18_26,Europe,Poland
18_27,Latin America,Brazil
18_28,Latin America,Brazil
18_29,Europe,Croatia
18_30,Europe,Slovakia
18_31,North America,Canada
18_32,South East Asia,Thailand
18_33,North America,USA
18_34,Europe,Romania
18_35,Europe,Finland
18_36,Europe,Norway
18_37,Latin America,Brazil
18_38,Europe,Czech Republic
18_39,Middle East,Iran
18_40,South East Asia,Indonesia
18_41,North America,USA
18_42,Europe,Sweden
18_43,Europe,Italy
18_44,South East Asia,South Korea
18_45,Africa,South Africa
18_46,Middle East,Turkey
18_48,Europe,Poland
18_49,North America,USA
18_50,Middle East,Turkey
18_51,Latin America,Chile
18_52,Europe,Spain
18_53,South East Asia,Thailand
18_54,Europe,Romania
18_55,Latin America,Brazil
18_56,Middle East,Turkey
18_57,Middle East,Iran
18_58,Latin America,Brazil
18_59,Europe,Latvia
18_60,Europe,Latvia
18_61,Europe,Latvia
18_62,Middle East,Iran
18_63,Latin America,Brazil
18_64,Europe,Italy
18_65,Latin America,Brazil
18_66,Europe,Finland
18_67,Latin America,Brazil
19_01,North America,USA
19_02,South East Asia,Indonesia
19_03,North America,USA
19_05,Latin America,Brazil
19_06,Middle East,Iran
19_07,South East Asia,Indonesia
19_08,Europe,Italy
19_09,Europe,Finland
19_10,Middle East,"Iran, Italy"
19_11,North America,USA
19_12,Middle East,Iran
19_13,South East Asia,South Korea
19_14,Latin America,Brazil
19_15,Latin America,Brazil
19_16,Europe,Italy
19_17,Europe,Estonia
19_18,Middle East,Turkey
19_19,South East Asia,South Korea
19_20,South East Asia,Indonesia
19_21,Middle East,"Iran, Italy"
19_22,South East Asia,Japan
19_23,Europe,Croatia
19_24,Latin America,Brazil
19_25,Europe,Slovakia
19_26,Europe,Romania
19_27,South East Asia,Indonesia
19_28,Middle East,Iran
19_29,Latin America,Brazil
19_30,Latin America,Mexico
19_31,North America,Canada
19_32,Europe,Germany
19_33,Middle East,Turkey
19_34,North America,Canada
19_35,Europe,Finland
19_36,Europe,Austria
19_37,Africa,South Africa
19_38,Africa,South Africa
19_39,Europe,Italy
19_39,Europe,Slovenia
19_40,Latin America,Brazil
19_41,Europe,Poland
19_42,Europe,Spain
19_43,Latin America,Brazil
19_44,Oceania,Australia
19_45,South East Asia,Indonesia
19_46,Europe,Germany
19_47,Latin America,Brazil
19_48,South East Asia,Malaysia
19_49,Europe,Germany
19_50,Europe,Sweden
19_51,Oceania,Australia
19_52,Europe,Poland
19_53,Europe,Finland
19_54,Europe,Croatia
19_55,Latin America,Brazil
19_56,North America,Canada
19_57,Europe,Slovakia
20_01,Oceania,Australia
